time,symbol,quantity,price
2025-12-09 15:20:18.382639+00,BTCUSDT,0.00057,90888.99
2025-12-09 15:20:18.207235+00,BTCUSDT,0.00992,90888.99
2025-12-09 15:20:18.206831+00,BTCUSDT,8e-05,90888.99
2025-12-09 15:20:18.206266+00,BTCUSDT,0.10006,90888.99
2025-12-09 15:20:18.115111+00,ETHUSDT,0.3436,3139.45
2025-12-09 15:20:18.107158+00,BTCUSDT,0.00449,90888.99
2025-12-09 15:20:18.106827+00,BTCUSDT,6e-05,90888.99
2025-12-09 15:20:18.10638+00,BTCUSDT,6e-05,90888.99
2025-12-09 15:20:18.105943+00,BTCUSDT,7e-05,90888.99
2025-12-09 15:20:18.105561+00,BTCUSDT,6e-05,90889
2025-12-09 15:20:18.104799+00,BTCUSDT,6e-05,90889
2025-12-09 15:20:18.102508+00,BTCUSDT,6e-05,90889
2025-12-09 15:20:18.098763+00,BTCUSDT,0.00544,90889.07
2025-12-09 15:20:18.096184+00,BTCUSDT,6e-05,90889.87
2025-12-09 15:20:18.094518+00,BTCUSDT,0.001,90890
2025-12-09 15:20:18.09337+00,BTCUSDT,6e-05,90890.31
2025-12-09 15:20:18.092457+00,BTCUSDT,6e-05,90890.39
2025-12-09 15:20:18.091903+00,BTCUSDT,6e-05,90890.68
2025-12-09 15:20:18.091526+00,BTCUSDT,6e-05,90890.68
2025-12-09 15:20:18.091199+00,BTCUSDT,7e-05,90890.69
2025-12-09 15:20:18.090777+00,BTCUSDT,6e-05,90890.8
2025-12-09 15:20:18.090351+00,BTCUSDT,6e-05,90890.8
2025-12-09 15:20:18.089742+00,BTCUSDT,6e-05,90890.8
2025-12-09 15:20:18.089306+00,BTCUSDT,7e-05,90890.8
2025-12-09 15:20:18.088845+00,BTCUSDT,6e-05,90890.8
2025-12-09 15:20:18.087583+00,BTCUSDT,6e-05,90891.6
2025-12-09 15:20:18.084361+00,BTCUSDT,6e-05,90891.6
2025-12-09 15:20:18.08238+00,BTCUSDT,6e-05,90891.9
2025-12-09 15:20:18.078204+00,BTCUSDT,6e-05,90891.9
2025-12-09 15:20:18.077305+00,BTCUSDT,6e-05,90891.9
2025-12-09 15:20:18.076156+00,BTCUSDT,0.00274,90891.9
2025-12-09 15:20:18.07369+00,BTCUSDT,6e-05,90893.06
2025-12-09 15:20:18.072524+00,BTCUSDT,6e-05,90893.06
2025-12-09 15:20:18.070943+00,BTCUSDT,6e-05,90893.06
2025-12-09 15:20:18.068881+00,BTCUSDT,7e-05,90893.4
2025-12-09 15:20:18.064854+00,BTCUSDT,6e-05,90893.64
2025-12-09 15:20:18.062297+00,BTCUSDT,6e-05,90893.64
2025-12-09 15:20:18.061281+00,BTCUSDT,0.01262,90893.64
2025-12-09 15:20:18.059642+00,BTCUSDT,6e-05,90893.65
2025-12-09 15:20:18.058549+00,BTCUSDT,6e-05,90893.65
2025-12-09 15:20:18.057959+00,BTCUSDT,6e-05,90893.65
2025-12-09 15:20:18.057325+00,BTCUSDT,6e-05,90894.03
2025-12-09 15:20:18.055882+00,BTCUSDT,6e-05,90894.03
2025-12-09 15:20:18.053623+00,BTCUSDT,8e-05,90894.03
2025-12-09 15:20:18.048167+00,BTCUSDT,6e-05,90894.03
2025-12-09 15:20:18.044885+00,BTCUSDT,0.00088,90894.03
2025-12-09 15:20:18.043012+00,BTCUSDT,6e-05,90894.17
2025-12-09 15:20:18.041815+00,BTCUSDT,6e-05,90894.17
2025-12-09 15:20:18.040306+00,BTCUSDT,6e-05,90894.17
2025-12-09 15:20:18.039422+00,BTCUSDT,6e-05,90894.52
2025-12-09 15:20:18.038457+00,BTCUSDT,7e-05,90894.71
2025-12-09 15:20:18.02757+00,BTCUSDT,6e-05,90894.74
2025-12-09 15:20:18.02506+00,BTCUSDT,8e-05,90894.93
2025-12-09 15:20:18.021938+00,BTCUSDT,0.003,90894.93
2025-12-09 15:20:18.019027+00,BTCUSDT,6e-05,90895.11
2025-12-09 15:20:18.015488+00,BTCUSDT,6e-05,90895.11
2025-12-09 15:20:18.011388+00,BTCUSDT,6e-05,90895.11
2025-12-09 15:20:18.009841+00,BTCUSDT,6e-05,90895.17
2025-12-09 15:20:18.008742+00,BTCUSDT,6e-05,90895.17
2025-12-09 15:20:18.008408+00,BTCUSDT,8e-05,90895.17
2025-12-09 15:20:18.007886+00,BTCUSDT,8e-05,90895.17
2025-12-09 15:20:18.006728+00,BTCUSDT,8e-05,90895.17
2025-12-09 15:20:18.006214+00,BTCUSDT,6e-05,90895.34
2025-12-09 15:20:18.005736+00,BTCUSDT,6e-05,90895.7
2025-12-09 15:20:18.005078+00,BTCUSDT,6e-05,90895.7
2025-12-09 15:20:18.004449+00,BTCUSDT,6e-05,90895.7
2025-12-09 15:20:18.003888+00,BTCUSDT,7e-05,90896.11
2025-12-09 15:20:18.002395+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.998956+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.993484+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.990346+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.989614+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.989168+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.988733+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.988204+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.987392+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.976508+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.974763+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.972774+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.971013+00,BTCUSDT,8e-05,90896.37
2025-12-09 15:20:17.969819+00,BTCUSDT,8e-05,90896.37
2025-12-09 15:20:17.965973+00,BTCUSDT,8e-05,90896.37
2025-12-09 15:20:17.961714+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.959452+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.958182+00,BTCUSDT,6e-05,90896.37
2025-12-09 15:20:17.95713+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.955963+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.954766+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.953414+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.947429+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.94285+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.9413+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.939508+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.938817+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.936694+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.932359+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.929659+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.927378+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.92633+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.925862+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.925354+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.924887+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.924564+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.923769+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.923221+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.922801+00,BTCUSDT,0.0055,90896.38
2025-12-09 15:20:17.922422+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.921909+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.920331+00,BTCUSDT,0.00012,90896.38
2025-12-09 15:20:17.918899+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.916731+00,BTCUSDT,0.00012,90896.38
2025-12-09 15:20:17.912663+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.910776+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.910211+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.909372+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.906989+00,BTCUSDT,0.00012,90896.38
2025-12-09 15:20:17.904674+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.902269+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.900036+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.899558+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.899048+00,BTCUSDT,6e-05,90896.38
2025-12-09 15:20:17.898054+00,BTCUSDT,8e-05,90896.38
2025-12-09 15:20:17.892982+00,ETHUSDT,0.0017,3139.45
2025-12-09 15:20:17.89194+00,ETHUSDT,0.0016,3139.49
2025-12-09 15:20:17.890063+00,ETHUSDT,0.0016,3139.49
2025-12-09 15:20:17.886138+00,ETHUSDT,0.016,3139.49
2025-12-09 15:20:17.882643+00,ETHUSDT,0.0017,3139.49
2025-12-09 15:20:17.879506+00,ETHUSDT,0.0016,3139.5
2025-12-09 15:20:17.877191+00,ETHUSDT,0.0016,3139.5
2025-12-09 15:20:17.874784+00,ETHUSDT,0.0016,3139.5
2025-12-09 15:20:17.873981+00,ETHUSDT,0.0017,3139.5
2025-12-09 15:20:17.873229+00,ETHUSDT,0.0016,3139.5
2025-12-09 15:20:17.871692+00,ETHUSDT,0.0016,3139.5
2025-12-09 15:20:17.868833+00,ETHUSDT,0.0017,3139.51
2025-12-09 15:20:17.866275+00,ETHUSDT,0.0017,3139.51
2025-12-09 15:20:17.861774+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.859855+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.85829+00,ETHUSDT,0.0017,3139.52
2025-12-09 15:20:17.856044+00,ETHUSDT,0.0016,3139.52
2025-12-09 15:20:17.853245+00,ETHUSDT,0.0017,3139.52
2025-12-09 15:20:17.845808+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.843293+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.840707+00,ETHUSDT,0.0122,3139.52
2025-12-09 15:20:17.83902+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.837983+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.835663+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.832588+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.828241+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.824831+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.824198+00,ETHUSDT,0.0032,3139.52
2025-12-09 15:20:17.822651+00,ETHUSDT,0.0032,3139.52
2025-12-09 15:20:17.804152+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.775024+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.757395+00,ETHUSDT,0.0027,3139.52
2025-12-09 15:20:17.740248+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.735619+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.727302+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.723948+00,ETHUSDT,0.0032,3139.52
2025-12-09 15:20:17.721566+00,ETHUSDT,0.0024,3139.52
2025-12-09 15:20:17.645701+00,BTCUSDT,0.00024,90896.39
2025-12-09 15:20:17.588316+00,ETHUSDT,0.7747,3139.52
2025-12-09 15:20:17.587155+00,ETHUSDT,0.4782,3139.52
2025-12-09 15:20:17.586188+00,ETHUSDT,1.3759,3139.52
2025-12-09 15:20:17.585791+00,ETHUSDT,0.5446,3139.52
2025-12-09 15:20:17.584974+00,ETHUSDT,0.0017,3139.52
2025-12-09 15:20:17.583383+00,ETHUSDT,0.0016,3139.52
2025-12-09 15:20:17.582322+00,ETHUSDT,0.0096,3139.52
2025-12-09 15:20:17.514149+00,BTCUSDT,0.00261,90896.39
2025-12-09 15:20:17.333622+00,ETHUSDT,0.1327,3139.53
2025-12-09 15:20:17.331599+00,ETHUSDT,0.0016,3139.53
2025-12-09 15:20:17.331035+00,ETHUSDT,0.0017,3139.53
2025-12-09 15:20:17.329004+00,ETHUSDT,0.0016,3139.53
2025-12-09 15:20:17.327342+00,ETHUSDT,0.005,3139.54
2025-12-09 15:20:17.326849+00,ETHUSDT,0.0017,3139.54
2025-12-09 15:20:17.326015+00,ETHUSDT,0.0017,3139.55
2025-12-09 15:20:17.325547+00,ETHUSDT,0.0017,3139.56
2025-12-09 15:20:17.325008+00,ETHUSDT,0.0017,3139.57
2025-12-09 15:20:17.324401+00,ETHUSDT,0.0016,3139.58
2025-12-09 15:20:17.320863+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.316969+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.313636+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.308706+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.307919+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.307212+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.306499+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.306009+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:17.305264+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.304191+00,ETHUSDT,0.0016,3139.58
2025-12-09 15:20:17.303681+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.30307+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.301803+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.300589+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.299384+00,ETHUSDT,0.0032,3139.58
2025-12-09 15:20:17.297783+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.296116+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.291711+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.290952+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.290507+00,ETHUSDT,0.0017,3139.58
2025-12-09 15:20:17.28957+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:17.053506+00,BTCUSDT,0.11005,90896.38
2025-12-09 15:20:17.035785+00,ETHUSDT,0.1792,3139.59
2025-12-09 15:20:16.996634+00,BTCUSDT,0.00055,90896.39
2025-12-09 15:20:16.994485+00,ETHUSDT,0.0415,3139.59
2025-12-09 15:20:16.993816+00,ETHUSDT,0.0024,3139.59
